coin.data: .word 13, 19
.byte 199,199,199,199,199,0,0,0,199,199,199,199,199,
199,199,199,0,0,255,255,255,0,0,199,199,199,
199,199,0,255,255,55,55,55,55,55,0,199,199,
199,0,0,255,55,55,55,55,55,55,0,0,199,
199,0,255,55,55,255,255,0,55,55,55,0,199,
199,0,255,55,55,255,55,0,55,55,55,0,199,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
0,255,55,55,55,255,55,0,55,55,55,55,0,
199,0,255,55,55,255,55,0,55,55,55,0,199,
199,0,255,55,55,0,0,0,55,55,55,0,199,
199,0,0,255,55,55,55,55,55,55,0,0,199,
199,199,0,255,255,55,55,55,55,55,0,199,199,
199,199,199,0,0,55,55,55,0,0,199,199,199,
199,199,199,199,199,0,0,0,199,199,199,199,199,


